reportID	month	day	statefips	spend_accomodation_food	spend_arts_entertainment	spend_all	spend_general_merchandise	spend_grocery_food_store	spend_healthcare_social_assistance	spend_transportation_warehousing	spend_all_inchigh	spend_all_inclow	spend_all_incmiddle
114	1	15	18	0.0308	0.241	0.00142	-0.017	-0.00583	0.206	-0.0243	0.025	0.0154	-0.00726
115	1	15	19	-0.0161	-0.0971	0.00094	-0.0584	0.0295	0.157	-0.0565	-0.017	0.00367	0.00106
116	1	15	20	0.015	0.214	0.0257	0.0187	0.0262	-0.0961	-0.00244	0.0149	0.0129	0.0417
117	1	15	21	0.0333	0.137	0.0263	0.0355	0.0356	-0.0322	0.046	0.083	0.0265	0.0272
118	1	15	22	0.00809	0.182	0.00803	-0.0071	0.000317	0.298	0.0377	-0.0545	-0.00482	0.00989
119	1	15	23	-0.0212	0.0803	0.0456	-0.073	0.0685	0.146	0.0702	0.0414	0.0611	0.052
120	1	15	24	0.0435	0.132	0.00297	0.00548	0.0118	-0.128	0.00337	0.0112	0.00753	-0.0144
121	1	15	25	0.0129	0.0378	0.0292	0.00186	0.0638	0.19	0.0262	0.0394	-0.0382	0.0311
122	1	15	26	-0.07	0.0406	0.00307	-0.0626	0.0332	0.0296	-0.00085	-0.0247	0.0172	0.00172
123	1	15	27	-0.032	-0.0285	-0.000641	-0.0237	0.0134	0.0381	0.0543	-0.0022	-0.0198	0.00396
124	1	15	28	-0.125	0.0483	-0.0286	-0.054	-0.0532	-0.458	-0.0122	-0.00569	-0.041	-0.0358
125	1	15	29	0.156	0.141	0.0235	0.0212	-0.0209	-0.408	-0.0698	0.0348	0.0381	0.0319
126	1	15	30	-0.00974	-0.0712	-0.00632	-0.154	-0.0708	-0.195	-0.0122	0.0294	0.00264	-0.00169
127	1	15	31	-0.00767	0.112	0.0482	0.0665	0.0635	0.0524	0.048	0.0446	0.0236	0.0546
128	1	15	32	-0.00775	0.0761	0.0182	-0.0324	-0.0256	0.127	-0.042	-0.015	0.0333	0.0327
129	1	15	33	-0.0108	0.116	0.0371	-0.00357	0.0893	0.0368	-0.00247	0.0352	-0.115	0.0369
130	1	15	34	0.00134	0.0735	0.0259	-0.0161	0.0306	-0.00577	0.0451	0.0288	0.00439	0.0252
131	1	15	35	-0.0326	0.0515	0.0144	-0.0275	-0.0535	0.278	-0.0439	0.0268	0.0488	-0.00314
132	1	15	36	0.000634	0.118	0.0205	-0.00407	0.0486	0.1	-0.0316	0.0174	0.0152	0.0279
133	1	15	37	-0.0091	0.102	0.0166	-0.00946	-0.00741	0.0688	0.0175	0.0126	0.014	0.0159
134	1	15	38	0.0111	0.0492	0.00943	-0.0131	0.0215	-0.025	0.0733	-0.0018	0.0551	0.00686
135	1	15	39	-0.0199	0.131	0.01	0.00117	0.0167	0.146	-0.00647	0.0301	0.00382	0.00225
136	1	15	40	-0.0114	0.0258	0.037	-0.0286	0.0188	0.138	0.0507	0.0428	0.0574	0.0238
137	1	15	41	-0.029	0.0314	0.00465	0.0109	-0.0182	-0.099	-0.0181	0.0225	-0.0279	0.0105
138	1	15	42	0.0188	0.0571	0.0223	-0.00877	0.0413	0.00913	0.0313	0.0195	0.0205	0.0267
139	1	15	44	0.0302	0.0408	0.0284	-0.0657	-0.0415	-0.216	0.0403	0.0814	-0.131	0.125
140	1	15	45	0.0379	0.102	0.032	-0.00497	0.00448	0.0685	0.0114	0.0138	0.0418	0.0299
141	1	15	46	-0.0538	0.0122	-0.0237	-0.0564	-0.0236	-0.0242	0.0544	-0.0551	-0.0313	-0.0252
142	1	15	47	-0.00299	0.0918	0.0118	-0.00717	0.0114	-0.0218	-0.0232	0.0155	0.0116	0.00996
143	1	15	48	0.000571	-0.0238	0.0219	-0.00415	-0.0146	0.0289	0.00513	0.0241	0.0197	0.0199
144	1	15	49	0.00136	0.197	0.00367	0.0146	-0.00629	0.00198	-0.007	0.0237	0.0791	-0.0183
145	1	15	50	-0.00933	0.189	0.0319	-0.00245	0.0566	0.258	0.0116	-0.0183	.	0.0439
146	1	15	51	0.0448	0.136	0.0166	0.0191	-0.0116	-0.053	0.0148	0.0261	0.0255	0.00474
